College Code,College Name,Rating,Region,Location,WebsiteLink,Address,College Infrastucture,Academics,Placements,Value for Money,Campus Life,Fees,NIRF Ranking
3036,"Institute of Chemical Technology, Mumbai",4.4,Mumbai,Matunga,https://www.ictmumbai.edu.in/,"Nathalal Parekh Marg, near Khalsa College, Matunga, Mumbai, Maharashtra 400019",4.4,4.4,4,3.6,4.3,"3,24,000",NA
3012,"Veermata Jijabai Technological Institute, Mumbai ",4.3,Mumbai,Matunga,http://www.vjti.ac.in/,"H R Mahajani Rd, Matunga, Mumbai, Maharashtra 400019",4.5,4.6,4.3,4.6,4.6,"3,03,804",71
3139,"Vidyalankar Institute of Technology, Mumbai ",4.3,Mumbai,Wadala,https://vit.edu.in/,"Vidyalankar Educational Campus, Vidyalankar College Rd, Wadala East, Deen Bandhu Nagar, Antop Hill, Mumbai, Maharashtra 400037",4.7,4.1,3.8,3.4,4.2,"5,45,104",NA
3181,"KJ Somaiya College of Engineering, Mumbai ",4.2,Mumbai,Vidya Vihar,https://kjsce.somaiya.edu/en,"Vidyanagar, Vidya Vihar East, Ghatkopar East, Mumbai, Maharashtra 400077",4.1,4,3.9,2.8,4,"11,44,100",171
3014,"Sardar Patel Institute of Technology, Mumbai",4.2,Mumbai,Andheri,https://www.spit.ac.in/,"Bhavan's Campus, Munshi Nagar, Andheri (West), Mumbai 400 058.",3.9,4.2,4.1,3.2,4.1,"2,95,373",125
3209,"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",4.1,Mumbai,Sion,https://kjsieit.somaiya.edu.in/en,"Somaiya Ayurvihar Complex Eastern Express Highway Near Everard Nagar, Sion East, Mumbai, Maharashtra 400022",4.1,4,3.9,3.7,4.1,"6,64,000",271
3199,"Dwarkadas J Sanghvi College of Engineering, Mumbai ",4.1,Mumbai,Vile Parle,https://djsce.ac.in/,"No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Rd, Opp.Cooper Hospital, Vile Parle, Mumbai, Maharashtra 400056",4.1,4.1,3.9,3.2,3.9,"4,60,656",NA
3182,"Thadomal Shahani Engineering College, Mumbai",3.8,Mumbai,Bandra,https://tsec.edu/,"W, P. G. Kher Marg, (32nd Road, Marg, Off Linking Rd, TPS III, Bandra West, Mumbai, Maharashtra 400050",3.2,4,4.1,2.9,3.9,"5,67,075",246
3185,"Vivekanand Education Society's Institute of Technology, Chembur ",3.8,Mumbai,Chembur,https://vesit.ves.ac.in/,"Hashu Adwani Memorial Complex, Collector's Colony, Chembur, Mumbai, Maharashtra 400074",3.9,3.7,3.9,3.2,3.7,"3,40,000",247
3174,"Ramrao Adik Institute of Technology, Navi Mumbai ",3.8,New Mumbai,Nerul,http://www.dypatil.edu/mumbai/rait/,"near Old London Pilsner Brewery, Sector 7, Nerul(E, Navi Mumbai, Maharashtra 400706",4.4,4.3,4.2,3.7,4.2,"4,20,000",198
3207,"Pillai College of Engineering, New Panvel ",3.7,New Mumbai,New Panvel,https://www.pce.ac.in/,"Dr. K. M. Vasudevan Pillai Campus, Plot No. 10, Sector 16, New Panvel East, Navi Mumbai, Maharashtra 410206",4.2,4.1,3.4,3.5,4,"2,65,720",NA
3176,"Thakur College of Engineering and Technology, Mumbai ",3.7,Mumbai,Kandivali,https://www.tcetmumbai.in/,"A-Block, Thakur Educational Campus, Shyamnarayan Thakur Marg, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101",4.6,4,4,2.3,4,"5,12,304",NA
3203,"Atharva College of Engineering, Malad",3.6,Mumbai,Malad,https://www.atharvacoe.ac.in/,"Shri Sevantilal Khandwala Marg, Malad, Charkop Naka, Asmita Jyoti Housing Society, Malad West, Mumbai, Maharashtra 400095",4.3,3.7,3.4,2.7,3.8,"3,75,140",NA
3208,"Don Bosco Institute of Technology, Mumbai",3.6,Mumbai,Kurla,https://www.dbit.in/,"Premier Automobiles Road Opp. HDIL Premier Exotica, Kurla, w, Maharashtra 400070",3.2,3.9,4.4,3.7,3.9,"5,07,144",NA
3201,"Rizvi College of Engineering, Bandra",3.5,Mumbai,Bandra,https://eng.rizvi.edu.in/,"New Rizvi Educational Complex, Bandra West, Mumbai - 400050, Near Off Carter Road",3,3.3,2.9,2.4,3.2,"3,30,000",NA
3197,"Fr C Rodrigues Institute of Technology, Navi Mumbai ",3.3,New Mumbai,Vashi,https://fcrit.ac.in/,"Father Agnel Technical Education Complex, near Noor Masjid, Juhu Nagar, Sector 9A, Vashi, Navi Mumbai, Maharashtra 400703",3.9,4,3.8,3.7,3.7,"4,85,000",212
3214,"Xavier Institute of Engineering, Mumbai",3.2,Mumbai,Mahim,https://www.xavier.ac.in/,"Opposite S.L.Raheja Hospital, Mahim Causeway, Mahim (West), Mumbai, Maharashtra 400016",4,4.1,4,2.4,3.8,"3,00,000",NA
3190,"Terna Public Charitable Trust's Terna Engineering College, Navi Mumbai ",3.1,New Mumbai,Nerul,https://ternaengg.ac.in/,"Railway Station, Plot No 12, Sector-22, opp. Nerul, Phase 2, Nerul West, Navi Mumbai, 400706",3.6,3.3,3.2,2.8,3.3,"1,81,000",NA
3475,"AP Shah Institute of Technology, Thane",3.1,Thane,Thane,https://www.apsit.edu.in/,"Survey No. 12, Ghodbunder Rd, opp. Hypercity Mall, Kasarvadavali, Thane West, Thane, Maharashtra 400615",3.8,3.9,3.3,3,3.8,"1,42,000",NA
3135,"MCTs Rajiv Gandhi Institute of Technology, Mumbai",3.1,Mumbai,Andheri,http://mctrgit.ac.in,"Juhu Versova Link Rd, behind HDFC Bank, Gharkul Society, Bharat Nagar, Versova, Andheri West, Mumbai, Maharashtra 400053",3.6,3.6,3,2.6,3.5,"3,12,000",NA
3187,"Datta Meghe College of Engineering, Navi Mumbai ",3.1,New Mumbai,Airoli,https://www.dmce.ac.in/,"Plot No. 98, Sector-3, Airoli, Opp Khandoba Temple Sri Sadguru Vanamrao Pai Marg, Navi Mumbai, Maharashtra 400708",3.1,3.3,3.2,2.4,3.4,"3,62,906",NA
3188,"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering, Mumbai",2.9,Mumbai,Sion,https://www.pvppcoe.ac.in/,"Vasantdada Patil Education Complex, Eastern Express Highway Near Everard Nagar, Chunabhatti, Sion, Mumbai, Maharashtra 400022",3.4,3.6,3.3,3.4,3.8,"3,71,000",NA
3154,"Saraswati College of Engineering, Navi Mumbai",2.9,New Mumbai,Kharghar,https://engineering.saraswatikharghar.edu.in/,"Plot No. 46, near MSEB Sub Station, Sector-5, Kharghar, Navi Mumbai, Maharashtra 410210",3.6,3.8,3.7,2.8,3.8,"3,76,976",NA
3211,"SIES Graduate School of Technology, Navi Mumbai",2.8,New Mumbai,Nerul,http://www.siesgst.edu.in/,"Sri Chandrasekarendra Saraswati Vidyapuram Sector-V, Nerul, Navi Mumbai, Maharashtra 400706",3.6,3.7,3.2,2.8,3.5,"3,92,000",NA
3204,"St Francis Institute of Technology, Mumbai",2.8,Mumbai,Borivali,https://www.sfit.ac.in/,"Sardar Vallabhbhai Patel Rd, near Bhagwati Hospital, Mount Poinsur, Borivali West, Mumbai, Maharashtra 400103",4,4,3.6,3.5,4.2,"4,32,840",NA
3183,"MH Saboo Siddik College of Engineering, Mumbai",2.6,Mumbai,Byculla,https://www.mhssce.ac.in/,"8, Saboo Siddik Polytechnic Road, Byculla, Mumbai, Maharashtra 400008",2.9,3,2.8,2.2,3.3,"3,28,850",NA
3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",2.6,New Mumbai,Kharghar,https://bvcoenm.edu.in/,"Sion-Panvel Expressway, Sector 7, CBD Belapur, Near Kharghar Railway Station, Navi Mumbai, Maharashtra 400614",3.7,3.3,3.2,2.3,3.5,"3,63,324",NA
3210,"KC College of Engineering and Management Studies and Research, Thane",2.5,Thane,Thane,https://www.kccemsr.edu.in/,"Sadguru Gardens, Mithbunder Rd, near Kopri, Valmiki Nagar, Thane (E, Mumbai, Maharashtra 400603",3.6,3.6,3.3,3.3,4.1,"4,32,000",NA
3192,"Smt Indira Gandhi College of Engineering, Navi Mumbai",2,New Mumbai,Ghansoli,http://sigce.edu.in/,"400701, Sector 8, Plot 1, Ghansoli, Navi Mumbai, Maharashtra 400701",3.3,3.3,2.2,2.6,3.6,"2,50,000",NA
3196,"Lokmanya Tilak College of Engineering, Navi Mumbai",1.5,New Mumbai,Kopar Khairane,https://www.ltce.in/,"Kopar Khairane, Sector 4, Vikas Nagar, Navi Mumbai, Maharashtra 400709",3.1,3,2.4,2.1,3,"4,80,000",NA
3193,"Shivajirao S Jondhale College of Engineering, Thane",1.4,Thane,Dombivli,https://shivajiraojondhalecoe.org.in/,"Sheel-Kalyan Road, Sonarpada, Post, Manpada Rd, behind Venkatesh Petrol Pump, Dombivli East, Thane, Maharashtra 421204",2.6,2.6,2,1.6,2.4,"3,13,000",NA
